     1    1   3.650000E+02   3.650000E+02             HEAD    80    80     1 (10F10.3)           
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000    51.458    51.457    51.456
    51.456    51.456    51.456    51.455    51.455    51.455    51.455    51.455    51.455    51.455
    51.455    51.455    51.455    51.456    51.456 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000    43.693    43.295    43.165    43.283    43.672
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000    51.457    51.456
    51.456    51.455    51.455    51.455    51.455    51.455    51.455    51.455    51.455    51.455
    51.455    51.455    51.455    51.455    51.456 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000    42.693    42.246    42.067    42.154    42.522
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000    51.458    51.456
    51.455    51.455    51.455    51.455    51.454    51.454    51.454    51.454    51.454    51.454
    51.454    51.454    51.454    51.455    51.456 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000    41.703    41.206    40.988    41.044    41.382
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000    51.456
    51.455    51.455    51.454    51.454    51.454    51.454    51.454    51.454    51.454    51.454
    51.454    51.454    51.454    51.454    51.456 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000
